,COMPANY,investor,ValueCr.,Sep 2023%,Jun 2023%,Mar 2023%,Dec 2022%,Sep 2022%
16,Jet Freight Logistics Ltd.,mukul-agrawal,0.0,-,-,-,-,2.47
14,Jubilant Ingrevia Ltd.,rakesh-jhunjhunwala,214.14,3.12,3.12,3.15,3.15,3.15
15,Jubilant Pharmova Ltd.,rakesh-jhunjhunwala,446.98,6.68,6.68,6.76,6.76,6.76
24,Jubilant Pharmova Ltd.,sunil-singhania,80.31,1.20,1.20,1.20,1.20,1.20
25,K.C.P. Sugar And Industries Corporation Ltd.,dolly-khanna,5.33,1.26,-,-,-,-
4,KCP Ltd.,dolly-khanna,26.08,1.39,1.69,2.25,2.43,3.04
19,KDDL Ltd.,mukul-agrawal,124.07,3.38,3.38,3.38,3.32,3.32
12,KG Denim Ltd.,anil-goel,1.56,1.91,1.91,1.91,1.91,1.91
13,KRBL Ltd.,anil-goel,340.57,4.25,4.39,4.38,4.11,4.00
18,Kamdhenu Ltd.,mukul-agrawal,0.0,-,-,-,-,3.89
55,Kanoria Chemicals & Industries Ltd.,mukul-agrawal,0.0,-,1.21,1.34,1.37,1.37
41,Karur Vysya Bank Ltd.,mukul-agrawal,128.44,1.06,-,1.06,1.06,1.25
16,Karur Vysya Bank Ltd.,rakesh-jhunjhunwala,561.59,4.63,-,4.74,4.74,4.37
15,Khaitan Chemicals & Fertilizers Ltd.,dolly-khanna,0.0,-,-,-,-,-
20,Kingfa Science & Technology (India) Ltd.,mukul-agrawal,67.6,2.48,2.48,2.48,2.48,2.48
42,Knowledge Marine & Engineering Works Ltd.,ashish-kacholia,44.94,2.78,2.78,2.50,2.31,-
6,Kopran Ltd.,madhusudan-kela,13.22,1.04,1.04,1.04,-,-
35,LG Balakrishnan & Bros Ltd.,anil-goel,0.0,-,1.27,-,-,-
21,LT Foods Ltd.,mukul-agrawal,84.32,1.15,1.15,1.15,1.25,1.72
11,La Opala RG Ltd.,ashish-kacholia,67.43,1.59,1.59,1.59,1.59,1.59
3,Lakshmi Machine Works Ltd.,nemish-shah,1433.86,10.36,10.40,10.40,10.45,10.45
43,Likhitha Infrastructure Ltd.,ashish-kacholia,20.59,1.77,1.77,2.01,2.01,-
4,Lykis Ltd.,vijay-kedia,0.0,-,-,-,-,2.71
2,MKVentures Capital Ltd.,madhusudan-kela,334.39,74.36,74.36,83.66,83.66,83.66
24,MPS Ltd.,mukul-agrawal,139.82,4.46,4.46,4.46,4.46,4.46
13,MSTC Ltd.,ashish-kacholia,0.0,-,-,-,-,-
25,MTAR Technologies Ltd.,mukul-agrawal,0.0,-,-,-,-,1.14
14,Magadh Sugar & Energy Ltd.,anil-goel,43.46,3.73,3.70,3.56,3.55,3.55
7,Mahaveer Infoway Ltd.,ashok-kumar-jain,0.67,18.29,18.29,18.29,18.29,18.29
11,Mahindra & Mahindra Financial Services Ltd.,ashish-dhawan,397.34,1.18,1.18,1.18,1.18,1.18
5,Mahindra Holidays & Resorts India Ltd.,vijay-kedia,81.05,1.02,1.02,1.02,1.02,1.02
15,Majestic Auto Ltd.,anil-goel,5.06,1.92,1.92,1.92,1.92,1.92
17,Man InfraConstruction Ltd.,rakesh-jhunjhunwala,0.0,-,-,-,-,1.21
19,Manali Petrochemicals Ltd.,dolly-khanna,0.0,-,-,-,-,1.06
12,Mangalam Drugs And Organics Ltd.,ajay-upadhyaya,5.81,3.80,1.90,1.90,1.90,1.90
8,Mangalam Organics Ltd.,radhakishan-damani,6.87,2.17,2.17,2.17,2.17,2.17
5,Mangalore Chemicals & Fertilizers Ltd.,dolly-khanna,16.21,1.21,1.27,1.20,1.24,1.37
5,Maral Overseas Ltd.,ajay-upadhyaya,5.59,1.87,1.87,1.87,1.87,1.87
12,Mastek Ltd.,ashish-kacholia,0.0,-,-,-,-,-
22,Mastek Ltd.,mukul-agrawal,0.0,-,-,-,-,-
10,Mastek Ltd.,sunil-singhania,240.23,3.22,1.60,3.23,3.05,2.75
8,Mayur Floorings Ltd.,ashok-kumar-jain,0.01,0.22,0.22,0.22,0.22,0.22
38,Megastar Foods Ltd.,ashish-kacholia,0.0,-,-,1.13,1.13,1.04
18,Metro Brands Ltd.,rakesh-jhunjhunwala,0.0,-,-,14.40,14.40,14.43
9,Metropolis Healthcare Ltd.,radhakishan-damani,0.0,-,-,-,-,1.07
23,Mitcon Consultancy & Engineering Services Ltd.,mukul-agrawal,4.3,3.13,4.31,4.39,5.00,5.23
6,Monte Carlo Fashions Ltd.,dolly-khanna,28.16,1.94,2.36,2.11,2.54,2.49
20,NCC Ltd.,rakesh-jhunjhunwala,1338.73,13.09,13.09,13.09,13.09,12.64
7,NCL Industries Ltd.,dolly-khanna,0.0,-,-,-,1.70,1.31
6,NDL Ventures Ltd.,dilipkumar-lakhi,20.75,4.17,4.17,4.25,4.09,4.09
55,NIIT Learning Systems Ltd.,ashish-kacholia,120.44,2.23,-,-,-,-
14,NIIT Ltd.,ashish-kacholia,29.34,1.86,2.23,2.23,2.23,2.23
16,Nahar Capital And Financial Services Ltd.,anil-goel,12.36,2.44,2.44,2.44,2.39,2.38
14,Nahar Poly Films Ltd.,ajay-upadhyaya,6.35,1.12,1.12,1.24,1.34,1.34
17,Nahar Spinning Mills Ltd.,anil-goel,75.19,6.71,6.71,6.71,6.60,6.60
20,National Oxygen Ltd.,dolly-khanna,0.69,1.19,1.19,1.19,1.19,1.08
6,Navin Fluorine International Ltd.,ajay-upadhyaya,185.41,1.01,1.01,1.01,1.01,1.01
19,Nazara Technologies Ltd.,rakesh-jhunjhunwala,526.5,9.96,9.96,9.96,10.00,10.02
26,Neuland Laboratories Ltd.,mukul-agrawal,206.96,3.12,3.29,3.12,3.12,2.94
6,Neuland Laboratories Ltd.,vijay-kedia,82.79,1.25,1.25,1.17,1.01,1.01
27,Newgen Software Technologies Ltd.,mukul-agrawal,0.0,-,1.14,1.43,1.57,-
8,Nitin Spinners Ltd.,dolly-khanna,23.09,1.17,1.36,1.33,1.39,1.52
9,Niyogin Fintech Ltd.,madhusudan-kela,37.13,5.32,-,-,-,-
9,Octal Credit Capital Ltd.,ashok-kumar-jain,0.14,1.60,1.60,1.60,1.60,1.60
19,Om Infra Ltd.,vijay-kedia,30.55,2.56,-,-,-,-
18,Omaxe Ltd.,anil-goel,0.18,0.01,0.01,0.01,0.01,0.01
7,Onmobile Global Ltd.,ajay-upadhyaya,27.03,2.35,2.36,1.72,1.58,1.58
42,Onmobile Global Ltd.,mukul-agrawal,0.0,-,-,-,-,1.10
37,Oriana Power Ltd.,anil-goel,14.11,2.09,-,-,-,-
21,Orient Cement Ltd.,rakesh-jhunjhunwala,0.0,-,-,-,-,1.22
15,PCBL Ltd.,ashish-kacholia,185.7,1.88,1.88,1.88,1.88,1.87
30,PDS Ltd.,mukul-agrawal,220.38,2.72,2.73,2.73,2.74,2.74
43,PE Analytics Ltd.,mukul-agrawal,0.0,-,-,2.51,2.51,2.51
12,PSP Projects Ltd.,sunil-singhania,41.87,1.51,1.51,1.51,1.51,1.51
56,PTC Industries Ltd.,mukul-agrawal,0.0,-,-,-,-,1.01
7,Palred Technologies Ltd.,ashish-dhawan,10.74,5.54,5.54,5.54,5.54,6.42
19,Panama Petrochem Ltd.,anil-goel,23.35,1.46,1.50,1.50,1.52,1.52
7,Panasonic Energy India Company Ltd.,vijay-kedia,0.0,-,1.24,1.24,1.24,1.24
28,Parag Milk Foods Ltd.,mukul-agrawal,0.0,-,-,-,1.67,1.83
29,Paras Defence And Space Technologies Ltd.,mukul-agrawal,0.0,-,-,1.12,1.92,-
17,Patel Engineering Ltd.,vijay-kedia,67.54,1.68,1.68,1.29,-,-
31,Pearl Global Industries Ltd.,mukul-agrawal,93.47,3.46,3.46,3.46,3.46,-
10,Pee Cee Cosma Sope Ltd.,ashok-kumar-jain,3.67,2.95,2.95,2.95,2.95,2.95
51,Pix Transmissions Ltd.,mukul-agrawal,46.48,2.58,2.63,2.63,2.63,2.63
11,Pokarna Ltd.,ashok-kumar-jain,0.0,0.00,0.19,0.19,0.19,0.19
9,Polyplex Corporation Ltd.,dolly-khanna,0.0,-,-,-,-,1.17
11,Polyplex Corporation Ltd.,sunil-singhania,0.0,-,-,-,-,-
21,Pondy Oxides & Chemicals Ltd.,dolly-khanna,15.79,3.07,3.68,3.10,3.12,3.37
26,Prakash Industries Ltd.,dolly-khanna,26.85,1.00,-,-,-,-
72,Prakash Industries Ltd.,mukul-agrawal,37.33,1.40,-,-,-,-
10,Prakash Pipes Ltd.,dolly-khanna,31.11,3.24,2.78,2.71,2.83,2.78
8,Precision Camshafts Ltd.,ajay-upadhyaya,46.01,2.00,1.90,1.90,1.90,1.90
18,Precision Camshafts Ltd.,vijay-kedia,26.64,1.16,1.16,1.05,-,-
20,Precot Ltd.,anil-goel,14.1,5.27,5.27,5.27,1.50,3.77
7,Premier Explosives Ltd.,dilipkumar-lakhi,58.49,3.66,9.86,10.24,10.24,10.24
12,Prima Plastics Ltd.,ashok-kumar-jain,0.0,-,-,1.01,1.86,1.78
22,Prozone Realty Ltd.,rakesh-jhunjhunwala,0.0,-,-,2.06,2.06,2.06
8,Quess Corp Ltd.,ashish-dhawan,290.28,3.95,3.95,3.95,3.96,2.60
9,RPSG Ventures Ltd.,ashish-dhawan,88.5,4.18,4.18,4.18,4.18,4.18
14,RSC International Ltd.,ashok-kumar-jain,0.0,0.04,0.04,0.04,0.04,-
32,Radico Khaitan Ltd.,mukul-agrawal,0.0,-,1.05,1.05,1.05,1.05
44,Raghav Productivity Enhancers Ltd.,ashish-kacholia,32.95,2.02,2.02,2.02,2.13,-
60,Raghav Productivity Enhancers Ltd.,mukul-agrawal,25.33,1.55,1.55,1.55,1.64,-
34,Raghav Productivity Enhancers Ltd.,rakesh-jhunjhunwala,83.5,5.12,5.12,5.23,-,-
13,Rajshree Polypack Ltd.,sunil-singhania,10.27,4.28,6.23,7.57,7.62,7.62
27,Rajshree Sugars & Chemicals Ltd.,dolly-khanna,1.84,1.05,-,-,-,-
23,Rallis India Ltd.,rakesh-jhunjhunwala,0.0,-,7.75,10.30,10.30,9.36
11,Rama Phosphates Ltd.,dolly-khanna,0.0,-,-,-,1.54,1.72
8,Ramco Systems Ltd.,vijay-kedia,0.0,-,-,1.14,1.44,1.62
22,Rane Brake Lining Ltd.,ashok-kumar-jain,0.0,-,1.00,-,-,-
4,Rane Engine Valve Ltd.,nemish-shah,0.0,-,-,-,1.01,1.01
19,Rane Holdings Ltd.,ashok-kumar-jain,20.36,1.14,1.00,1.05,1.04,1.13
44,Raymond Ltd.,mukul-agrawal,167.1,1.50,1.65,1.80,1.80,1.65
13,Religare Enterprises Ltd.,ashish-dhawan,166.87,2.32,1.66,-,-,-
8,Religare Enterprises Ltd.,dilipkumar-lakhi,397.4,5.52,5.6,5.60,5.60,5.98
32,Repro India Ltd.,ashish-kacholia,37.85,3.23,3.48,3.62,3.60,3.60
8,Repro India Ltd.,madhusudan-kela,39.04,3.33,3.59,-,-,-
9,Repro India Ltd.,vijay-kedia,74.5,6.36,6.84,7.12,7.08,7.09
13,Richirich Inventures Ltd.,ashok-kumar-jain,0.29,3.97,7.28,7.28,7.28,7.28
14,Route Mobile Ltd.,sunil-singhania,250.96,2.58,2.58,2.58,2.58,2.69
15,Rupa & Company Ltd.,sunil-singhania,90.28,4.20,4.13,4.13,4.12,4.12
48,SG Finserve Ltd.,ashish-kacholia,0.0,-,1.17,-,-,-
57,SG Finserve Ltd.,mukul-agrawal,0.0,-,2.35,2.42,2.42,2.09
52,SIRCA Paints India Ltd.,mukul-agrawal,60.54,2.97,2.97,2.97,3.10,-
19,SJS Enterprises Ltd.,ashish-kacholia,62.07,3.23,4.34,4.43,4.43,3.84
16,SW Investments Ltd.,ashok-kumar-jain,0.0,-,3.33,3.33,3.33,3.33
13,Saboo Sodium Chloro Ltd.,dilipkumar-lakhi,1.05,1.37,1.37,1.37,1.37,1.37
16,Safari Industries (India) Ltd.,ashish-kacholia,223.24,2.10,2.29,2.31,2.59,2.59
33,Sahyadri Industries Ltd.,mukul-agrawal,10.06,2.35,2.35,2.20,2.20,2.20
21,Salasar Techno Engineering Ltd.,anil-goel,0.0,-,-,-,-,1.59
28,Salzer Electronics Ltd.,dolly-khanna,6.48,1.06,-,-,-,-
22,Samtex Fashions Ltd.,anil-goel,0.96,5.70,5.70,5.70,5.70,-
